,idPlanGobierno,idOrganizacionPolitica,txOrganizacionPolitica,idTipoEleccion,txTipoEleccion,idJuradoElectoral,txJuradoElectoral,txRutaCompleto,txRutaResumen,txTipoPlan,txCodExpedienteExt,idEstadoLista,txEstadoLista,nuCantidadCandidatos,txUbigeo,txDistritoElectoral,txRegion,txProvincia,txDistrito
87,29399,2886,HATARIY APURIMAC,4,REGIONAL,1646,ABANCAY,https://mpesije.jne.gob.pe/docs/44c6a6d5-7aa5-4583-bc13-6645f06fba11.pdf,https://mpesije.jne.gob.pe/docs/25e78fab-da2f-4f2b-a888-717cec6c674b.pdf,,ERM.2022009787,158,INSCRITO,24,30000,,APURIMAC,,
88,29511,2234,IDENTIDAD REGIONAL,4,REGIONAL,1718,PUNO,https://mpesije.jne.gob.pe/docs/d8b4f0ae-f467-4bb7-aff9-d7c1e10d2270.pdf,https://mpesije.jne.gob.pe/docs/5de3a6ef-c0ef-4cd6-ad13-ed73d2e8d390.pdf,,ERM.2022013197,152,IMPROCEDENTE,40,200000,,PUNO,,
89,18824,1403,IGUALDAD NACIONAL CRISTIANA AUTONOMA - INCA,4,REGIONAL,1729,TACNA,https://mpesije.jne.gob.pe/docs/8af0ce2c-74ca-494b-96ca-d99624c83fb5.pdf,https://mpesije.jne.gob.pe/docs/a3e32997-b9d7-4c0c-984d-5a3ac7871a2f.pdf,,ERM.2022017997,158,INSCRITO,22,220000,,TACNA,,
90,26436,2716,JUNIN RENACE,4,REGIONAL,1679,HUANCAYO,https://mpesije.jne.gob.pe/docs/40be0117-08ec-4857-b65f-c9c3ffb470a2.pdf,https://mpesije.jne.gob.pe/docs/c0934de4-dc01-4121-888e-d9cd963df195.pdf,,ERM.2022013249,158,INSCRITO,28,110000,,JUNIN,,
91,29174,303,JUNIN SOSTENIBLE CON SU GENTE,4,REGIONAL,1679,HUANCAYO,https://mpesije.jne.gob.pe/docs/186a7453-dd59-4887-a83a-7d0dd892dfe1.pdf,https://mpesije.jne.gob.pe/docs/a717a61d-ed6c-4db3-982d-e460226682e7.pdf,,ERM.2022014760,158,INSCRITO,28,110000,,JUNIN,,
92,25987,2257,JUNTOS POR EL DESARROLLO DE AREQUIPA,4,REGIONAL,1650,AREQUIPA,https://mpesije.jne.gob.pe/docs/553713fb-f8d5-4045-96aa-440e0e31ba9d.pdf,https://mpesije.jne.gob.pe/docs/c7b923bf-c04e-45df-baf9-871e9c14d3fa.pdf,,ERM.2022009457,158,INSCRITO,30,40000,,AREQUIPA,,
93,19743,1264,JUNTOS POR EL PERU,4,REGIONAL,1666,CHICLAYO,https://mpesije.jne.gob.pe/docs/22d5a130-4da8-4571-9693-1ba0990d05ef.pdf,https://mpesije.jne.gob.pe/docs/79331dae-7f7d-4ec7-8f22-cad8f40e0ee2.pdf,,ERM.2022015750,158,INSCRITO,22,130000,,LAMBAYEQUE,,
94,18347,1264,JUNTOS POR EL PERU,4,REGIONAL,1670,CORONEL PORTILLO,https://mpesije.jne.gob.pe/docs/805c923f-f6a7-46c0-ba7b-6776dc7a9c31.pdf,https://mpesije.jne.gob.pe/docs/b6fb3a6b-ed46-46fc-91dd-796444864d68.pdf,,ERM.2022018159,152,IMPROCEDENTE,24,250000,,UCAYALI,,
95,20253,1264,JUNTOS POR EL PERU,4,REGIONAL,1734,TUMBES,https://mpesije.jne.gob.pe/docs/4ca09364-37dc-4282-ad9c-1c2b3bdfbc2e.pdf,https://mpesije.jne.gob.pe/docs/1506b575-7d24-4eb8-83cf-94b5e7177d7e.pdf,,ERM.2022015716,152,IMPROCEDENTE,16,230000,,TUMBES,,
96,28830,1264,JUNTOS POR EL PERU,4,REGIONAL,1671,CUSCO,https://mpesije.jne.gob.pe/docs/9d3f3caf-3c25-4bb9-b4a7-e8debe780a1a.pdf,https://mpesije.jne.gob.pe/docs/73697a37-3bdc-4b4b-be86-46f2a4e3d528.pdf,,ERM.2022016983,158,INSCRITO,46,70000,,CUSCO,,
