,idSolicitudLista,txOrganizacionPolitica,numLista,numCandidatos,txDescUbigeo,idOrganizacionPolitica,txDepartamento,txProvincia,txDistrito,idTipoEleccion,numTotalCandidatoHombre,numTotalCandidatoMujer,fgTieneAccesitario,numTotalAccesitarios,numTotalObligatorios,txTipoEleccion
83,2388,JUNTOS POR EL PERU,1,24,UCAYALI,1264,UCAYALI,,,4,12,12,NO,0,24,REGIONAL
84,13155,MOVIMIENTO INDEPENDIENTE REGIONAL: MOVIMIENTO AMPLIO Y  SOLIDARIO: SOMOS MAS,1,22,MOQUEGUA,2916,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
85,12243,PARTIDO POLITICO NACIONAL PERU LIBRE,1,26,LAMBAYEQUE,2218,LAMBAYEQUE,,,4,13,13,SI,4,22,REGIONAL
86,728,PARTIDO FRENTE DE LA ESPERANZA 2021,1,22,TACNA,2857,TACNA,,,4,11,11,NO,0,22,REGIONAL
87,746,PARTIDO FRENTE DE LA ESPERANZA 2021,1,16,TUMBES,2857,TUMBES,,,4,9,7,NO,0,16,REGIONAL
88,8134,ACCION POPULAR,1,22,MOQUEGUA,4,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
89,1225,PARTIDO FRENTE DE LA ESPERANZA 2021,1,20,CALLAO,2857,CALLAO,,,4,11,9,NO,0,20,REGIONAL
90,1444,PARTIDO FRENTE DE LA ESPERANZA 2021,1,22,MOQUEGUA,2857,MOQUEGUA,,,4,11,11,NO,0,22,REGIONAL
91,13026,TRABAJO MAS TRABAJO,1,52,LA LIBERTAD,2884,LA LIBERTAD,,,4,25,27,SI,16,36,REGIONAL
92,10227,MOVIMIENTO INDEPENDIENTE REGIONAL HUANUCO PRIMERO,1,58,HUANUCO,2162,HUANUCO,,,4,29,29,SI,16,42,REGIONAL
93,13008,SIEMPRE TACNA,1,30,TACNA,2178,TACNA,,,4,15,15,SI,8,22,REGIONAL
94,12916,RENOVACION POPULAR,1,46,CUSCO,22,CUSCO,,,4,23,23,NO,0,46,REGIONAL
95,12624,JUNTOS POR EL PERU,1,52,ANCASH,1264,ANCASH,,,4,26,26,NO,0,52,REGIONAL
96,13480,CONTIGO REGION,1,41,PIURA,2862,PIURA,,,4,21,20,SI,17,24,REGIONAL
